0 Ensemble_score =  1.803 z-score -2.626 Chi = 1.803 c1 = 1.045 c2 = 0.491
 769 Int325_5_B10890001_MSE.pdb.dat    (0.279) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.302) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.128) [ 0.989, 0.124, 0.054 ] 
1575 Basic300_8_B10300001_MSE.pdb.dat    (0.071) [ 0.033, 0.078, 0.009 ] 
11 Ensemble_score =  1.851 z-score -1.287 Chi = 1.851 c1 = 1.045 c2 = 0.510
 488 Int300_9_B10970001_MSE.pdb.dat    (0.230) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.274) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.310) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.110) [ 0.989, 0.124, 0.054 ] 
1611 Basic300_8_B10240001_MSE.pdb.dat    (0.077) [ 0.033, 0.078, 0.005 ] 
12 Ensemble_score =  1.854 z-score -1.211 Chi = 1.854 c1 = 1.045 c2 = 0.510
 488 Int300_9_B10970001_MSE.pdb.dat    (0.212) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.274) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.321) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.117) [ 0.989, 0.124, 0.054 ] 
1969 Int300_7_B10170001_MSE.pdb.dat    (0.076) [ 0.022, 0.082, 0.006 ] 
13 Ensemble_score =  1.854 z-score -1.198 Chi = 1.854 c1 = 1.045 c2 = 0.549
 488 Int300_9_B10970001_MSE.pdb.dat    (0.266) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.283) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.318) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.079) [ 0.989, 0.124, 0.054 ] 
2784 Int300_5_B10570001_MSE.pdb.dat    (0.053) [ 0.002, 0.053, 1.000 ] 
14 Ensemble_score =  1.857 z-score -1.108 Chi = 1.857 c1 = 1.045 c2 = 0.549
 488 Int300_9_B10970001_MSE.pdb.dat    (0.225) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.283) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.309) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.107) [ 0.989, 0.124, 0.054 ] 
1587 Basic320_1_B10130001_MSE.pdb.dat    (0.076) [ 0.033, 0.077, 0.009 ] 
15 Ensemble_score =  1.858 z-score -1.099 Chi = 1.858 c1 = 1.045 c2 = 0.518
 488 Int300_9_B10970001_MSE.pdb.dat    (0.304) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.295) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.297) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.054) [ 0.989, 0.124, 0.054 ] 
2523 Basic350_6_B10730001_MSE.pdb.dat    (0.051) [ 0.002, 0.051, 1.000 ] 
16 Ensemble_score =  1.860 z-score -1.040 Chi = 1.860 c1 = 1.045 c2 = 0.587
 488 Int300_9_B10970001_MSE.pdb.dat    (0.236) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.303) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.280) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.129) [ 0.989, 0.124, 0.054 ] 
1454 Basic300_8_B10340001_MSE.pdb.dat    (0.051) [ 0.002, 0.051, 1.000 ] 
17 Ensemble_score =  1.861 z-score -1.023 Chi = 1.861 c1 = 1.044 c2 = 0.518
 488 Int300_9_B10970001_MSE.pdb.dat    (0.283) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.281) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.318) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.062) [ 0.989, 0.124, 0.054 ] 
2714 Basic320_1_B10520001_MSE.pdb.dat    (0.055) [ 0.002, 0.055, 1.000 ] 
18 Ensemble_score =  1.862 z-score -0.985 Chi = 1.862 c1 = 1.045 c2 = 0.495
