0 Ensemble_score =  1.632 z-score -6.815 Chi = 1.632 c1 = 1.043 c2 = 0.491
 769 Int325_5_B10890001_MSE.pdb.dat    (0.281) [ 0.063, 0.413, 0.103 ] 
 794 Int300_8_B10720001_MSE.pdb.dat    (0.401) [ 0.005, 0.262, 0.110 ] 
 992 Int350_7_B10950001_MSE.pdb.dat    (0.317) [ 0.003, 0.261, 0.050 ] 
1 Ensemble_score =  1.680 z-score -6.446 Chi = 1.680 c1 = 1.042 c2 = 0.453
 488 Int300_9_B10970001_MSE.pdb.dat    (0.429) [ 0.007, 0.334, 0.126 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.310) [ 0.063, 0.413, 0.103 ] 
 992 Int350_7_B10950001_MSE.pdb.dat    (0.261) [ 0.003, 0.261, 0.050 ] 
2 Ensemble_score =  1.696 z-score -6.324 Chi = 1.696 c1 = 1.044 c2 = 0.476
 769 Int325_5_B10890001_MSE.pdb.dat    (0.281) [ 0.063, 0.413, 0.103 ] 
 794 Int300_8_B10720001_MSE.pdb.dat    (0.397) [ 0.005, 0.262, 0.110 ] 
 936 Int350_7_B10910001_MSE.pdb.dat    (0.322) [ 0.002, 0.262, 0.056 ] 
3 Ensemble_score =  1.747 z-score -5.935 Chi = 1.747 c1 = 1.046 c2 = 0.515
 769 Int325_5_B10890001_MSE.pdb.dat    (0.298) [ 0.063, 0.413, 0.103 ] 
 794 Int300_8_B10720001_MSE.pdb.dat    (0.394) [ 0.005, 0.262, 0.110 ] 
 983 Int350_7_B10860001_MSE.pdb.dat    (0.307) [ 0.004, 0.250, 0.046 ] 
4 Ensemble_score =  1.749 z-score -5.924 Chi = 1.749 c1 = 1.046 c2 = 0.453
 769 Int325_5_B10890001_MSE.pdb.dat    (0.275) [ 0.063, 0.413, 0.103 ] 
 794 Int300_8_B10720001_MSE.pdb.dat    (0.402) [ 0.005, 0.262, 0.110 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.324) [ 0.002, 0.255, 0.062 ] 
5 Ensemble_score =  1.755 z-score -5.874 Chi = 1.755 c1 = 1.044 c2 = 0.484
 488 Int300_9_B10970001_MSE.pdb.dat    (0.423) [ 0.007, 0.334, 0.126 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.326) [ 0.063, 0.413, 0.103 ] 
 983 Int350_7_B10860001_MSE.pdb.dat    (0.251) [ 0.004, 0.250, 0.046 ] 
6 Ensemble_score =  1.820 z-score -5.373 Chi = 1.820 c1 = 1.044 c2 = 0.460
 488 Int300_9_B10970001_MSE.pdb.dat    (0.426) [ 0.007, 0.334, 0.126 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.316) [ 0.063, 0.413, 0.103 ] 
 936 Int350_7_B10910001_MSE.pdb.dat    (0.257) [ 0.002, 0.262, 0.056 ] 
7 Ensemble_score =  1.831 z-score -5.292 Chi = 1.831 c1 = 1.044 c2 = 0.499
 708 Int300_8_B10700001_MSE.pdb.dat    (0.409) [ 0.004, 0.270, 0.078 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.265) [ 0.063, 0.413, 0.103 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.326) [ 0.002, 0.255, 0.062 ] 
8 Ensemble_score =  1.869 z-score -4.998 Chi = 1.869 c1 = 1.044 c2 = 0.604
