# SAXS profile: number of points = 279, q_min = 0.0165457, q_max = 0.251469, delta_q = 0.000845047841726619
# offset = 0.00000000000000, scaling c = 2.72833900901875e-06, Chi = 1.97685885429382
#  q       exp_intensity   model_intensity
0.01655    149.72100000    156.92267530   
0.01739    145.88900000    152.89577189   
0.01824    142.60200000    148.78841499   
0.01908    139.74500000    144.63879160   
0.01993    136.07000000    140.45830581   
0.02077    132.68100000    136.26658526   
0.02162    129.56200000    132.07809880   
0.02246    126.39900000    127.90579994   
0.02331    121.91200000    123.76007776   
0.02415    117.48200000    119.65270145   
0.02500    113.25500000    115.59334056   
0.02584    110.70100000    111.60779844   
0.02669    106.08800000    107.69284088   
0.02753    102.63700000    103.85675131   
0.02838    99.46050000     100.10542182   
0.02922    95.74980000     96.44582008    
0.03007    92.34920000     92.89625349    
0.03091    88.97020000     89.44764181    
0.03176    86.09570000     86.11522879    
0.03260    84.51800000     82.89258571    
0.03345    81.37050000     79.78070183    
0.03429    77.23880000     76.78154725    
0.03514    74.92990000     73.89511226    
0.03598    72.21520000     71.12500803    
0.03683    69.40170000     68.48908073    
0.03767    67.28110000     65.96394658    
0.03852    65.28210000     63.55664650    
0.03936    62.47080000     61.24607178    
0.04021    59.97240000     59.03889631    
0.04105    57.86920000     56.93280295    
0.04190    55.80730000     54.93776458    
0.04274    53.94820000     53.04223393    
0.04359    52.11380000     51.23483510    
0.04443    50.23070000     49.51152245    
0.04528    48.60430000     47.87587052    
0.04612    47.43720000     46.30890530    
0.04697    45.80730000     44.81760112    
0.04781    44.29550000     43.40484972    
0.04866    42.71190000     42.05440037    
0.04950    41.29670000     40.76208481    
0.05035    39.78250000     39.52454844    
0.05119    38.57080000     38.34361697    
0.05204    37.37560000     37.20463734    
0.05288    36.14650000     36.11681137    
0.05373    35.24420000     35.07123814    
0.05457    34.07950000     34.06260996    
0.05542    32.80910000     33.08863424    
0.05626    31.85770000     32.14676955    
0.05711    30.71710000     31.23979747    
0.05795    29.86650000     30.35769875    
0.05880    29.05250000     29.50550020    
0.05964    28.60330000     28.67716642    
0.06049    27.81670000     27.87164786    
0.06133    27.15230000     27.09168438    
0.06218    26.41830000     26.32821449    
0.06302    25.77240000     25.58437617    
0.06387    24.68690000     24.86294891    
0.06471    23.59550000     24.16016275    
0.06556    22.60730000     23.47504526    
0.06640    22.10650000     22.81047402    
0.06725    21.50950000     22.15929041    
0.06809    21.22660000     21.52461678    
0.06894    20.66880000     20.90780989    
0.06978    20.24160000     20.30915878    
0.07063    19.59570000     19.72944305    
0.07147    19.11780000     19.16226956    
0.07232    18.53120000     18.61072036    
0.07316    17.87450000     18.07450813    
0.07401    17.77350000     17.55354163    
0.07485    17.09470000     17.05325835    
0.07570    16.25850000     16.56519645    
0.07654    15.92600000     16.09152431    
0.07739    15.57530000     15.63206417    
0.07823    15.12960000     15.18876917    
0.07908    14.70440000     14.75667365    
0.07992    14.15530000     14.33918588    
0.08077    13.59210000     13.93595734    
0.08161    13.34030000     13.54714740    
0.08246    13.08080000     13.16801402    
0.08330    12.77770000     12.80044503    
0.08415    12.57450000     12.44395697    
0.08499    12.00080000     12.09829581    
0.08584    11.56600000     11.76685185    
0.08668    11.32230000     11.44317915    
0.08753    10.93590000     11.12871814    
0.08837    10.50930000     10.82488890    
0.08922    10.30930000     10.52777530    
0.09006    10.31630000     10.23884547    
0.09091    10.07770000     9.95862806     
0.09176    9.64430000      9.68803822     
0.09260    9.37233000      9.42283108     
0.09345    9.19191000      9.16439055     
0.09429    8.94917000      8.91240207     
0.09514    8.68666000      8.66813801     
0.09598    8.52133000      8.42861755     
0.09683    8.30284000      8.19608317     
0.09767    8.07323000      7.96913741     
0.09852    7.74033000      7.74898984     
0.09936    7.56681000      7.53284146     
0.10021    7.43425000      7.32182151     
0.10105    7.12136000      7.11725301     
0.10190    6.95655000      6.91728223     
0.10274    6.69974000      6.72259412     
0.10359    6.39772000      6.53387288     
0.10443    6.17390000      6.34884387     
0.10528    6.15542000      6.16854901     
0.10612    6.03121000      5.99288848     
0.10697    5.89434000      5.82309583     
0.10781    5.70718000      5.65759491     
0.10866    5.57945000      5.49653771     
0.10950    5.37607000      5.34076881     
0.11035    5.15902000      5.18836649     
0.11119    5.02824000      5.04018638     
0.11204    4.87283000      4.89696643     
0.11288    4.75548000      4.75760139     
0.11373    4.61142000      4.62236065     
0.11457    4.48906000      4.49168159     
0.11542    4.35671000      4.36388833     
0.11626    4.19435000      4.23968514     
0.11711    4.10485000      4.11954226     
0.11795    3.87454000      4.00234554     
0.11880    3.82544000      3.88887649     
0.11964    3.74667000      3.77913135     
0.12049    3.64578000      3.67170655     
0.12133    3.60614000      3.56715696     
0.12218    3.44032000      3.46597195     
0.12302    3.32035000      3.36684166     
0.12387    3.16457000      3.27133405     
0.12471    3.03034000      3.17777352     
0.12556    2.97029000      3.08661771     
0.12640    2.95530000      2.99830734     
0.12725    2.86252000      2.91170077     
0.12809    2.79378000      2.82730313     
0.12894    2.72549000      2.74576482     
0.12978    2.60496000      2.66611878     
0.13063    2.55621000      2.58899980     
0.13147    2.47912000      2.51347406     
0.13232    2.38003000      2.44000315     
0.13316    2.32679000      2.36899656     
0.13401    2.26504000      2.29958698     
0.13485    2.25168000      2.23256124     
0.13570    2.14753000      2.16805302     
0.13654    2.06133000      2.10517962     
0.13739    2.06923000      2.04469479     
0.13823    2.07618000      1.98588096     
0.13908    1.97939000      1.92911892     
0.13992    1.86373000      1.87495230     
0.14077    1.84072000      1.82271527     
0.14161    1.84799000      1.77280803     
0.14246    1.75885000      1.72460251     
0.14330    1.71652000      1.67868216     
0.14415    1.64169000      1.63444747     
0.14499    1.62007000      1.59219770     
0.14584    1.65309000      1.55255113     
0.14668    1.60738000      1.51449987     
0.14753    1.52614000      1.47852851     
0.14837    1.52692000      1.44408343     
0.14922    1.50607000      1.41136711     
0.15006    1.42401000      1.38056406     
0.15091    1.42791000      1.35135710     
0.15175    1.40741000      1.32402319     
0.15260    1.38874000      1.29795787     
0.15344    1.38119000      1.27348740     
0.15429    1.32808000      1.25014195     
0.15513    1.26149000      1.22825388     
0.15598    1.20649000      1.20739705     
0.15682    1.26527000      1.18806091     
0.15767    1.32991000      1.16955447     
0.15851    1.30221000      1.15201922     
0.15936    1.23870000      1.13556548     
0.16020    1.18035000      1.11979151     
0.16105    1.17117000      1.10499140     
0.16189    1.18513000      1.09086542     
0.16274    1.14209000      1.07761596     
0.16358    1.12703000      1.06484881     
0.16443    1.15837000      1.05282921     
0.16527    1.14015000      1.04121958     
0.16612    1.06031000      1.03029336     
0.16696    1.02256000      1.01973824     
0.16781    1.01227000      1.00987196     
0.16865    1.05963000      1.00032713     
0.16950    1.06839000      0.99133874     
0.17034    1.06138000      0.98263555     
0.17119    1.03169000      0.97446977     
0.17203    0.99889600      0.96656729     
0.17288    0.95378600      0.95924196     
0.17372    0.94184900      0.95217790     
0.17457    0.97760800      0.94560003     
0.17541    0.93646000      0.93923759     
0.17626    0.91121000      0.93333497     
0.17711    0.96033500      0.92765155     
0.17795    0.94265700      0.92241947     
0.17880    0.88542200      0.91743145     
0.17964    0.90134800      0.91284315     
0.18049    0.93592300      0.90842399     
0.18133    0.96225000      0.90437155     
0.18218    0.90318000      0.90042592     
0.18302    0.92883400      0.89683184     
0.18387    0.95782900      0.89335805     
0.18471    0.93601400      0.89017412     
0.18555    0.90212700      0.88713545     
0.18640    0.87825000      0.88411400     
0.18725    0.86063000      0.88130807     
0.18809    0.80980900      0.87847615     
0.18894    0.82939800      0.87582937     
0.18978    0.84772300      0.87309080     
0.19063    0.85594200      0.87049218     
0.19147    0.84688800      0.86777422     
0.19232    0.80307200      0.86512277     
0.19316    0.76626300      0.86244166     
0.19401    0.83389800      0.85958645     
0.19485    0.84133800      0.85675434     
