# SAXS profile: number of points = 279, q_min = 0.0165457, q_max = 0.251469, delta_q = 0.000845047841726619
# offset = 0.00000000000000, scaling c = 2.84923672899438e-06, Chi = 1.84339737892151
#  q       exp_intensity   model_intensity
0.01655    149.72100000    156.39421898   
0.01739    145.88900000    152.34313668   
0.01824    142.60200000    148.21785181   
0.01908    139.74500000    144.05742788   
0.01993    136.07000000    139.87432140   
0.02077    132.68100000    135.68839134   
0.02162    129.56200000    131.51317835   
0.02246    126.39900000    127.36149622   
0.02331    121.91200000    123.24349908   
0.02415    117.48200000    119.17061534   
0.02500    113.25500000    115.15214777   
0.02584    110.70100000    111.21444222   
0.02669    106.08800000    107.35222226   
0.02753    102.63700000    103.57306375   
0.02838    99.46050000     99.88213154    
0.02922    95.74980000     96.30036294    
0.03007    92.34920000     92.80131077    
0.03091    88.97020000     89.41862280    
0.03176    86.09570000     86.15192201    
0.03260    84.51800000     82.99385052    
0.03345    81.37050000     79.94460459    
0.03429    77.23880000     77.00536136    
0.03514    74.92990000     74.17538697    
0.03598    72.21520000     71.45746250    
0.03683    69.40170000     68.86778286    
0.03767    67.28110000     66.39347017    
0.03852    65.28210000     64.01090010    
0.03936    62.47080000     61.72853333    
0.04021    59.97240000     59.54291867    
0.04105    57.86920000     57.45153775    
0.04190    55.80730000     55.46323017    
0.04274    53.94820000     53.56698772    
0.04359    52.11380000     51.75211628    
0.04443    50.23070000     50.02246267    
0.04528    48.60430000     48.35913302    
0.04612    47.43720000     46.76597830    
0.04697    45.80730000     45.24276468    
0.04781    44.29550000     43.79242948    
0.04866    42.71190000     42.40025160    
0.04950    41.29670000     41.06265005    
0.05035    39.78250000     39.78294018    
0.05119    38.57080000     38.54565852    
0.05204    37.37560000     37.35450477    
0.05288    36.14650000     36.21348323    
0.05373    35.24420000     35.11467801    
0.05457    34.07950000     34.05340816    
0.05542    32.80910000     33.03305277    
0.05626    31.85770000     32.04128156    
0.05711    30.71710000     31.08195393    
0.05795    29.86650000     30.15520980    
0.05880    29.05250000     29.26209860    
0.05964    28.60330000     28.39644838    
0.06049    27.81670000     27.56172921    
0.06133    27.15230000     26.74816483    
0.06218    26.41830000     25.95946464    
0.06302    25.77240000     25.19467139    
