# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000    21295638.64793372 4472.08411607
0.00100    21292477.50934470 7026.51774495
0.00200    21282995.98128223 10535.08334433
0.00300    21267202.67585409 15312.38647209
0.00400    21245107.27837157 19120.59727708
0.00500    21216731.22757685 22914.07063275
0.00600    21182093.40166306 22241.19897723
0.00700    21141223.94708419 25369.46979086
0.00800    21094150.42440212 34172.52513029
0.00900    21040919.09419155 41029.79398760
0.01000    20981558.77884674 41543.48817594
0.01100    20916129.22224045 41413.93766317
0.01200    20844670.13915098 60970.66283020
0.01300    20767250.36308670 65416.84152892
0.01400    20683915.50423491 60500.45553193
0.01500    20594747.78887260 69198.35565194
0.01600    20499794.68204653 57501.92665368
0.01700    20399155.52252901 60585.49461970
0.01800    20292888.62873304 69401.68223317
0.01900    20181087.00871253 60543.26375801
0.02000    20063828.36030364 113761.91194902
0.02100    19941221.93715119 92128.44952660
0.02200    19813331.45139539 68355.99661289
0.02300    19680281.99264383 92103.72391799
0.02400    19542159.19673097 95268.03042805
0.02500    19399082.84399617 105918.99716561
0.02600    19251150.01106608 109154.02555526
0.02700    19098482.56182778 104277.71956362
0.02800    18941173.48448288 90633.51927967
0.02900    18779373.07744169 101408.61927428
0.03000    18613178.93450963 95206.41462621
0.03100    18442724.89838684 123935.11701981
0.03200    18268129.37120998 99469.96900764
0.03300    18089544.35901809 101482.34853247
0.03400    17907067.51517463 94012.10879242
0.03500    17720859.37372148 95692.64503700
0.03600    17531036.46790445 107026.98258267
0.03700    17337756.37874019 108707.73752216
0.03800    17141140.88051212 120330.81455005
0.03900    16941350.99449074 121977.73280912
0.04000    16738495.51767290 164706.80352625
0.04100    16532756.42526245 124987.64437023
0.04200    16324259.91427636 105291.48133186
0.04300    16113147.42876041 106346.77796622
0.04400    15899575.05947053 128786.56396281
0.04500    15683700.69083989 140682.80173365
0.04600    15465641.07877421 163549.16201093
0.04700    15245572.83928239 142698.56841230
0.04800    15023629.81259084 132508.42111242
0.04900    14799980.70976865 110999.86049003
0.05000    14574748.46196902 167245.24638906
0.05100    14348100.39435184 201447.33892093
0.05200    14120162.17833626 112255.29454901
0.05300    13891114.45664430 112518.03234417
0.05400    13661078.82072669 123974.29607949
0.05500    13430213.16586882 157939.31419837
0.05600    13198651.95456725 124133.32742528
0.05700    12966564.44361621 135370.93911027
0.05800    12734060.97110718 169044.66728455
0.05900    12501298.57643789 135014.03093147
0.06000    12268415.76695639 134707.21141454
0.06100    12035560.54330629 167896.07742513
0.06200    11802864.26663464 178459.31605333
0.06300    11570464.67126220 111076.46603753
0.06400    11338465.01954609 110550.03911064
0.06500    11107040.52934533 142947.61829945
0.06600    10876297.66523409 120237.47631490
0.06700    10646361.07221532 130311.46562236
0.06800    10417361.24672800 140165.60213575
0.06900    10189426.86604881 192580.17678472
0.07000    9962658.23137164 116712.54664599
0.07100    9737180.66138017 115677.71167528
0.07200    9513105.51201749 104168.51023655
0.07300    9290561.94583857 134062.81516004
0.07400    9069635.77251828 163253.45155606
0.07500    8850436.44824260 161431.96838266
0.07600    8633061.51512021 129625.42472645
0.07700    8417630.78812671 167426.68422623
0.07800    8204208.40737665 106941.86160532
0.07900    7992903.91340035 105506.33660553
0.08000    7783808.87518787 104030.61049707
0.08100    7577011.10564208 139795.86145807
0.08200    7372571.71098417 110146.22653074
0.08300    7170586.40223020 171663.84652592
0.08400    6971128.96983266 106658.27824484
0.08500    6774270.56007695 87388.09432744
0.08600    6580078.69879502 120218.04347140
0.08700    6388617.02080622 92762.72349803
0.08800    6199938.39381698 82769.18144461
0.08900    6014112.95691541 97428.63447822
0.09000    5831195.89660123 119393.74159149
0.09100    5651224.71367124 77986.90471258
0.09200    5474246.67404023 91638.89362924
0.09300    5300327.15237835 89681.53963257
0.09400    5129469.89658427 87713.93935392
0.09500    4961735.49051967 107173.49163267
0.09600    4797154.07275811 97718.03305559
0.09700    4635757.65561381 88589.33296361
0.09800    4477569.59380829 66491.91159435
0.09900    4322615.67767924 103742.78114254
0.10000    4170894.55188307 69507.96097589
0.10100    4022439.35316446 92314.98749686
0.10200    3877267.22476560 107826.80659251
0.10300    3735371.81008276 81580.52416982
0.10400    3596767.40537450 62313.99822968
0.10500    3461475.84086561 66044.96215109
0.10600    3329449.19782390 85500.25942321
0.10700    3200732.71722744 82962.99593458
0.10800    3075293.00081919 60337.25151565
0.10900    2953129.65323198 63344.63404318
0.11000    2834229.13498862 61346.89251440
0.11100    2718583.21646056 45672.20018648
0.11200    2606160.59642060 53009.30902672
0.11300    2496952.99392560 46967.68802702
0.11400    2390940.80085988 53616.84998380
0.11500    2288092.99071474 43794.10190446
0.11600    2188382.35060515 46087.33447407
0.11700    2091788.66168879 40727.12716112
0.11800    1998254.28513327 39235.72473653
0.11900    1907770.02092753 37773.84819358
0.12000    1820287.72443722 39645.86850576
0.12100    1735794.35446139 34941.54200134
0.12200    1654220.95132911 42728.52918583
0.12300    1575539.76096085 46888.06549530
0.12400    1499702.54700215 36555.25130557
0.12500    1426663.43310041 35053.12220300
0.12600    1356398.30622944 36175.14453184
0.12700    1288832.47444034 27220.14314297
0.12800    1223927.90985774 28419.60740629
0.12900    1161640.18765427 22651.98472689
0.13000    1101911.37050761 28148.32728638
0.13100    1044685.62019724 22753.25388043
0.13200    989918.01735143 25673.52499027
0.13300    937557.81687834 24498.38690996
0.13400    887543.28952374 17972.75246019
0.13500    839821.24143646 25698.53119960
0.13600    794335.66393821 24485.39799540
0.13700    751030.19357127 18655.59088798
0.13800    709847.77470270 14800.32680047
0.13900    670735.05213865 26762.32984239
0.14000    633632.94962781 16081.60501997
