# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000    35931415.37678242 7545.59722912
0.00100    35924274.06447220 11855.01072282
0.00200    35902857.35576844 17771.91495385
0.00300    35867191.22165275 25824.37859953
0.00400    35817311.72809148 32235.58178017
0.00500    35753281.89241076 38613.54597217
0.00600    35675168.83045030 37458.92879700
0.00700    35583065.35836482 42699.68020465
0.00800    35477067.99453092 57472.85257764
0.00900    35357311.05301332 68946.75950069
0.01000    35223909.68508005 69743.34418794
0.01100    35077032.85656500 69452.52807992
0.01200    34916828.52976561 102131.72792741
0.01300    34743496.31884527 109442.01823128
0.01400    34557206.13535047 101079.83242687
0.01500    34358190.28742194 115443.52450631
0.01600    34146636.98626375 95781.32102823
0.01700    33922821.80295920 100750.78527434
0.01800    33686954.68435287 115209.39020463
0.01900    33439317.22256923 100317.95619431
0.02000    33180160.35482049 188131.51772209
0.02100    32909802.13294792 152043.29274763
0.02200    32628481.12553024 112568.26499732
0.02300    32336548.13067555 151335.05214009
0.02400    32034285.09458613 156167.14695695
0.02500    31722041.24214518 173202.35309237
0.02600    31400125.86782134 178038.72181373
0.02700    31068899.03237796 169636.19648631
0.02800    30728666.60974193 147036.67647066
0.02900    30379835.73605704 164051.12050698
0.03000    30022726.53880215 153566.25330469
0.03100    29657723.34192026 199299.91002812
0.03200    29285181.20338297 159457.81899675
0.03300    28905517.73669100 162159.96197849
0.03400    28519050.21385098 149725.02053109
0.03500    28126214.49979961 151881.56531252
0.03600    27727357.26172042 169275.52390566
0.03700    27322905.01959383 171314.62239573
0.03800    26913215.61683106 188930.78237379
0.03900    26498713.80197752 190790.74820976
0.04000    26079733.24647641 256624.58703705
0.04100    25656732.89597023 193964.90968702
0.04200    25230064.67408442 162733.92469754
0.04300    24800120.63854003 163680.80381209
0.04400    24367289.41466808 197375.05342529
0.04500    23931980.26305282 214669.87293420
0.04600    23494526.53751457 248454.62968409
0.04700    23055348.10162723 215798.06826755
0.04800    22614796.03194678 199462.51028238
0.04900    22173271.72090185 166299.54564759
0.05000    21731099.60944259 249364.37963029
0.05100    21288672.20246649 298892.97164627
0.05200    20846298.81962430 165728.08333915
0.05300    20404381.93772197 165275.50140034
0.05400    19963226.89178503 181166.29249143
0.05500    19523180.42023683 229592.61245232
0.05600    19084551.38302231 179490.21413308
0.05700    18647702.83298779 194682.02666386
0.05800    18212883.52754056 241776.04011721
0.05900    17780428.75147331 192028.63948477
0.06000    17350620.37198865 190509.82058483
0.06100    16923760.43076777 236086.46904185
0.06200    16500112.60038137 249481.71417942
0.06300    16079947.44918656 154367.50272969
0.06400    15663476.25713897 152718.90064927
0.06500    15251008.46645880 196280.48814489
0.06600    14842742.78575081 164086.52917384
0.06700    14438906.87143332 176732.22837723
0.06800    14039718.82119387 188904.42558161
0.06900    13645397.90102923 257898.03240396
0.07000    13256108.34380132 155295.31651987
0.07100    12872043.96208972 152919.88943205
0.07200    12493377.41320491 136802.48908335
0.07300    12120298.53626853 174895.91607321
0.07400    11752919.51702720 211552.56122072
0.07500    11391394.67778623 207779.04866194
0.07600    11035847.60534978 165703.25956260
0.07700    10686425.83241081 212553.01977294
0.07800    10343195.08667099 134823.55427747
0.07900    10006278.70083547 132082.88504621
0.08000    9675772.16221577 129316.70101440
0.08100    9351757.33789289 172539.93097939
0.08200    9034272.34060824 134972.03510228
0.08300    8723401.26937002 208838.23618992
0.08400    8419189.91123480 128813.61168823
0.08500    8121682.80808526 104769.71314273
0.08600    7830909.02773732 143070.71465415
0.08700    7546889.71072859 109580.84374544
0.08800    7269625.54189330 97049.50554209
0.08900    6999142.32585365 113386.11100454
0.09000    6735436.80732742 137908.07510833
0.09100    6478483.48587397 89403.07630532
0.09200    6228262.49176341 104261.11901101
0.09300    5984777.44159216 101262.43907028
0.09400    5747949.94305670 98289.94864565
0.09500    5517771.26848188 119183.86500117
0.09600    5294192.21360835 107842.70046065
0.09700    5077164.82004610 97024.62427248
0.09800    4866623.27982304 72269.35910331
0.09900    4662511.94503498 111900.29194267
0.10000    4464729.02724195 74404.71273803
0.10100    4273230.75532019 98070.65044704
0.10200    4087938.97713587 113685.58830150
0.10300    3908744.87946010 85366.99218314
0.10400    3735580.58577013 64718.93669318
0.10500    3568373.01927364 68084.56041108
0.10600    3406959.96334660 87490.73597549
0.10700    3251312.44261418 84274.02247830
0.10800    3101288.55382374 60847.28428960
0.10900    2956795.32398212 63423.26268447
0.11000    2817721.66499199 60989.58830950
0.11100    2683965.48762846 45090.62231473
0.11200    2555398.40647355 51976.80603459
0.11300    2431919.14378250 45744.40124823
0.11400    2313418.51803999 51878.41270971
0.11500    2199768.00878884 42103.56167079
0.11600    2090850.46111469 44033.31278467
0.11700    1986562.90454237 38678.38157300
0.11800    1886747.47154504 37046.28834860
0.11900    1791320.98527654 35468.15717908
