# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000    34902244.16337204 7329.47127431
0.00100    34895302.54456067 11515.45011318
0.00200    34874484.67945170 17262.87046296
0.00300    34839815.95173764 25084.66837884
0.00400    34791331.37535501 31312.19942762
0.00500    34729092.34070015 37507.42121255
0.00600    34653164.06334400 36385.82374785
0.00700    34563637.14994240 41476.36630370
0.00800    34460605.37069511 55826.18305751
0.00900    34344199.51095724 66971.19190923
0.01000    34214531.68976665 67744.77567092
0.01100    34071766.22529411 67462.10006334
0.01200    33916047.44061708 99204.44311330
0.01300    33747569.44039106 106304.84842578
0.01400    33566497.56129122 98182.00971928
0.01500    33373058.03424048 112133.47998822
0.01600    33167433.99100256 93034.65650374
0.01700    32949893.63884974 97861.18849731
0.01800    32720641.32644534 111904.59837188
0.01900    32479951.32298708 97439.85836570
0.02000    32228067.49160647 182733.15094346
0.02100    31965299.70722365 147679.69134295
0.02200    31691879.83871078 109336.99041099
0.02300    31408149.20259070 146990.14495888
0.02400    31114382.28042889 151682.62053345
0.02500    30810919.21509588 168227.62659748
0.02600    30498060.35747600 172924.01013614
0.02700    30176156.55746603 164761.82235004
0.02800    29845504.96402597 142810.74780211
0.02900    29506502.12845755 159335.11880942
0.03000    29159458.93273389 149150.63929668
0.03100    28804749.41738713 193567.92499151
0.03200    28442719.68098569 154870.61579602
0.03300    28073774.72609305 157493.88347392
0.03400    27698224.48165953 145415.68523825
0.03500    27316491.28937531 147509.05977431
0.03600    26928913.58678401 164401.02504490
0.03700    26535905.33483350 166380.13414407
0.03800    26137815.11015618 183487.47056502
0.03900    25735055.26871574 185292.40651565
0.04000    25327951.18292737 249227.05118893
0.04100    24916948.06628335 188372.13611527
0.04200    24502388.39686632 158040.41249173
0.04300    24084652.94463348 158958.71681312
0.04400    23664120.17600918 191679.38232764
0.04500    23241187.78965783 208473.46415993
0.04600    22816179.73984432 241281.11196526
0.04700    22389502.58303082 209565.75392364
0.04800    21961499.17210782 193700.43171051
0.04900    21532558.28785324 161494.19467605
0.05000    21102996.58558726 242156.89709592
0.05100    20673193.86578798 290251.65539676
0.05200    20243451.47479260 160935.44672440
0.05300    19814159.49817801 160494.69941716
0.05400    19385615.20407939 175924.46618106
0.05500    18958155.44003987 222947.91837523
0.05600    18532079.59282875 174294.21670385
0.05700    18107739.60070884 189044.81025573
0.05800    17685378.09696853 234773.40519939
0.05900    17265319.59669006 186465.46035328
0.06000    16847837.40156245 184989.26331163
0.06100    16433225.88719499 229243.51183923
0.06200    16021739.62675846 242248.71448015
0.06300    15613641.98319685 149890.97004689
0.06400    15209137.06747448 148289.09334287
0.06500    14808525.23211479 190585.72865250
0.06600    14411999.65207642 159324.66360827
0.06700    14019780.02959645 171602.11559306
0.06800    13632078.58256161 183419.62591407
0.06900    13249107.68307978 250408.14693405
0.07000    12871026.28103346 150784.07994329
0.07100    12498022.20914447 148476.51079894
0.07200    12130262.16548109 132826.37693451
0.07300    11767931.48424059 169811.25927420
0.07400    11411136.91755521 205400.47414191
0.07500    11060028.46210623 201734.92860463
0.07600    10714726.32548624 160881.62331940
0.07700    10375372.39189965 206366.16655109
0.07800    10042030.81566393 130897.87782079
0.07900    9714819.94664508 128235.62931044
0.08000    9393833.28546852 125548.58774990
0.08100    9079148.81051654 167510.30341331
0.08200    8770803.50722998 131035.81054690
0.08300    8468878.49015731 202744.96056959
0.08400    8173418.11606085 125053.30304556
0.08500    7884465.20596904 101709.60593177
0.08600    7602046.78483635 138889.40128003
0.08700    7326184.24286962 106376.20020165
0.08800    7056876.71937329 94209.30862806
0.08900    6794149.63793167 110065.22930422
0.09000    6537999.29377374 133865.54182842
0.09100    6288400.83446646 86779.93559266
0.09200    6045334.56136459 101198.90531225
0.09300    5808804.15816662 98284.97097480
0.09400    5578732.85108593 95396.33623696
0.09500    5355111.95021045 115670.42356137
0.09600    5137893.49705780 104658.89545485
0.09700    4927031.21502763 94155.57094569
0.09800    4722460.86039597 70128.54707416
0.09900    4524128.12713069 108579.08015679
0.10000    4331935.14930016 72191.70265806
0.10100    4145837.57310987 95146.97677780
0.10200    3965761.66609544 110287.83712165
0.10300    3791600.02668557 82808.54847819
0.10400    3623287.82013333 62773.46443699
0.10500    3460754.21123177 66031.19345703
0.10600    3303841.67944497 84842.65832029
0.10700    3152522.15540670 81713.37811338
0.10800    3006657.88605267 58990.63050055
0.10900    2866159.47653373 61479.12366520
0.11000    2730918.68378222 59110.73769278
0.11100    2600837.21843594 43694.06732655
0.11200    2475790.11455587 50357.57330076
