# SAXS profile: number of points = 379, q_min = 0.019764, q_max = 0.249619, delta_q = 0.000608082010582011
# offset = 0.00000000000000, scaling c = 4.77852243679867e-08, Chi = 3.26356666842952
#  q       exp_intensity   model_intensity
0.12375    0.16259900      0.16226357     
0.12436    0.15878300      0.15843301     
0.12497    0.15677300      0.15467541     
0.12558    0.15129200      0.15108218     
0.12618    0.14835800      0.14754781     
0.12679    0.14427300      0.14412802     
0.12740    0.14103100      0.14080703     
0.12801    0.13724000      0.13754782     
0.12862    0.13399500      0.13443879     
0.12923    0.13026400      0.13138329     
0.12983    0.12722700      0.12841892     
0.13044    0.12327500      0.12555902     
0.13105    0.12169900      0.12274879     
0.13166    0.12087100      0.12005391     
0.13226    0.11771400      0.11741404     
0.13287    0.11775400      0.11484536     
0.13348    0.11513700      0.11237123     
0.13409    0.11063800      0.10993487     
0.13470    0.10968400      0.10759940     
0.13531    0.10505100      0.10531844     
0.13591    0.10276100      0.10309128     
0.13652    0.10007000      0.10095245     
0.13713    0.09705510      0.09884915     
0.13774    0.09703860      0.09682297     
0.13835    0.09623910      0.09485292     
0.13895    0.09641290      0.09292539     
0.13956    0.09332690      0.09107593     
0.14017    0.09105120      0.08925680     
0.14078    0.08674730      0.08749643     
0.14139    0.08784760      0.08579088     
0.14200    0.08641970      0.08411498     
0.14260    0.08342120      0.08251692     
0.14321    0.08222050      0.08094555     
0.14382    0.08012330      0.07942317     
0.14443    0.07921420      0.07795216     
0.14503    0.07713510      0.07650720     
0.14564    0.07639020      0.07513209     
0.14625    0.07587660      0.07378338     
0.14686    0.07447450      0.07247221     
0.14747    0.07260960      0.07121165     
0.14808    0.07002580      0.06997226     
0.14868    0.06959640      0.06879059     
0.14929    0.06941080      0.06763902     
0.14990    0.06808760      0.06652001     
0.15051    0.06759540      0.06545176     
0.15112    0.06740410      0.06440498     
0.15172    0.06430300      0.06340693     
0.15233    0.06566760      0.06244172     
0.15294    0.06374590      0.06150382     
0.15355    0.06371390      0.06061440     
0.15416    0.06395240      0.05974456     
0.15476    0.06052720      0.05891607     
0.15537    0.05993540      0.05812065     
0.15598    0.05986950      0.05734493     
0.15659    0.06033430      0.05662249     
0.15720    0.05865520      0.05591821     
0.15781    0.05695300      0.05524831     
0.15841    0.05655720      0.05461467     
0.15902    0.05611780      0.05399976     
0.15963    0.05484860      0.05342965     
0.16024    0.05297540      0.05287830     
0.16084    0.05286470      0.05235631     
0.16145    0.05289350      0.05186826     
0.16206    0.05452230      0.05139625     
0.16267    0.05321200      0.05096391     
0.16328    0.05360010      0.05055123     
0.16389    0.05342680      0.05016139     
0.16449    0.05167740      0.04980663     
0.16510    0.05166870      0.04946604     
0.16571    0.05016610      0.04915634     
0.16632    0.04904980      0.04886543     
0.16693    0.04763630      0.04859166     
0.16753    0.04769500      0.04834799     
0.16814    0.04673600      0.04811615     
0.16875    0.04751700      0.04790946     
0.16936    0.04722940      0.04772001     
0.16997    0.04633930      0.04754260     
0.17057    0.04646390      0.04739266     
0.17118    0.04560420      0.04725120     
0.17179    0.04476690      0.04712578     
0.17240    0.04480060      0.04701459     
0.17301    0.04500560      0.04691140     
0.17361    0.04503660      0.04682783     
0.17422    0.04529320      0.04675038     
0.17483    0.04458520      0.04668350     
0.17544    0.04274470      0.04662635     
0.17605    0.04162740      0.04657402     
0.17666    0.04046070      0.04653457     
0.17726    0.04150490      0.04649793     
0.17787    0.04126060      0.04646498     
0.17848    0.03997530      0.04643750     
0.17909    0.03982450      0.04641198     
0.17969    0.03939270      0.04638943     
0.18030    0.03988380      0.04636799     
0.18091    0.03941170      0.04634766     
0.18152    0.04007360      0.04632520     
0.18213    0.03847180      0.04630221     
0.18274    0.03778080      0.04627877     
0.18334    0.03697340      0.04625121     
0.18395    0.03636970      0.04622049     
0.18456    0.03794700      0.04618322     
0.18517    0.03853990      0.04614281     
0.18578    0.04006220      0.04609561     
0.18638    0.03858650      0.04604187     
0.18699    0.03804390      0.04598432     
0.18760    0.03638000      0.04591595     
0.18821    0.03549580      0.04584250     
0.18882    0.03481200      0.04575954     
0.18942    0.03416210      0.04566559     
0.19003    0.03429630      0.04556613     
0.19064    0.03516160      0.04545356     
0.19125    0.03414470      0.04533373     
0.19186    0.03617710      0.04520337     
0.19246    0.03632350      0.04506214     
0.19307    0.03669390      0.04491544     
0.19368    0.03581020      0.04475118     
0.19429    0.03507020      0.04457891     
0.19490    0.03520560      0.04439779     
0.19551    0.03492270      0.04420213     
0.19611    0.03538050      0.04400033     
0.19672    0.03588140      0.04378464     
0.19733    0.03599530      0.04355956     
0.19794    0.03790420      0.04332652     
0.19854    0.03674130      0.04308081     
0.19915    0.03623600      0.04282907     
0.19976    0.03524080      0.04256378     
0.20037    0.03559000      0.04228954     
0.20098    0.03528250      0.04200950     
0.20158    0.03591960      0.04171573     
0.20219    0.03595960      0.04141734     
0.20280    0.03439010      0.04111017     
0.20341    0.03363450      0.04079559     
0.20402    0.03405300      0.04047705     
0.20463    0.03594110      0.04014664     
0.20523    0.03420870      0.03981228     
0.20584    0.03456900      0.03947101     
0.20645    0.03349910      0.03912447     
0.20706    0.03391860      0.03877529     
0.20767    0.03330360      0.03842045     
0.20827    0.03303050      0.03806284     
0.20888    0.03401080      0.03770186     
