# SAXS profile: number of points = 338, q_min = 0.0138833, q_max = 0.299529, delta_q = 0.000847613353115727
# offset = 0.00000000000000, scaling c = 7.08439490871807e-07, Chi = 3.54911991248006
#  q       exp_intensity   model_intensity
0.01388    69.44310000     71.64580371    
0.01473    68.96040000     70.61728378    
0.01558    67.40490000     69.54798477    
0.01643    66.95790000     68.44046438    
0.01727    65.62450000     67.29731300    
0.01812    64.97550000     66.12114396    
0.01897    64.22050000     64.91331577    
0.01982    62.68520000     63.67425404    
0.02066    61.64250000     62.41187846    
0.02151    60.25090000     61.12888943    
0.02236    59.33980000     59.82804853    
0.02321    58.20740000     58.51210974    
0.02405    55.97280000     57.18376443    
0.02490    54.94530000     55.84478379    
0.02575    53.65390000     54.49965243    
0.02660    52.03090000     53.15155301    
0.02745    51.20480000     51.80297432    
0.02829    49.86220000     50.45638781    
0.02914    48.96180000     49.11422207    
0.02999    47.47970000     47.77892442    
0.03084    46.28610000     46.45505372    
0.03168    44.91960000     45.14358812    
0.03253    43.69770000     43.84640277    
0.03338    43.51240000     42.56536195    
0.03423    41.94420000     41.30224634    
0.03507    40.94230000     40.05878985    
0.03592    40.30690000     38.83917600    
0.03677    39.31930000     37.64518295    
0.03762    37.40770000     36.47604453    
0.03846    35.58560000     35.33279203    
0.03931    34.19160000     34.21645296    
0.04016    33.26250000     33.12794228    
0.04101    32.79800000     32.06814285    
0.04185    32.34550000     31.04405317    
0.04270    31.43730000     30.05036485    
0.04355    30.34510000     29.08740304    
0.04440    29.66130000     28.15534863    
0.04525    28.81200000     27.25438233    
0.04609    27.65230000     26.38456541    
0.04694    27.17420000     25.54860253    
0.04779    26.45720000     24.74772790    
0.04864    25.60190000     23.97745900    
0.04948    24.92790000     23.23759963    
0.05033    24.07750000     22.52763403    
0.05118    23.08320000     21.84707345    
0.05203    22.83260000     21.19532154    
0.05287    22.64840000     20.57674867    
0.05372    21.72120000     19.98630071    
0.05457    20.78580000     19.42209583    
0.05542    20.74590000     18.88343142    
0.05626    20.15270000     18.36938209    
0.05711    19.54780000     17.87906917    
0.05796    18.95240000     17.41278288    
0.05881    18.17280000     16.97144284    
0.05965    18.03840000     16.55041062    
0.06050    17.60150000     16.14866139    
0.06135    17.00390000     15.76529280    
0.06220    16.54790000     15.39925528    
0.06304    16.05840000     15.04955931    
0.06389    15.63950000     14.71732611    
0.06474    14.99160000     14.39993234    
0.06559    14.91270000     14.09543505    
0.06644    14.59240000     13.80287095    
0.06728    14.11020000     13.52141135    
0.06813    13.90500000     13.25015502    
0.06898    13.41670000     12.98852686    
0.06983    13.08500000     12.73674046    
0.07067    12.79270000     12.49230975    
0.07152    12.26420000     12.25452835    
0.07237    11.98490000     12.02271107    
0.07322    11.93700000     11.79627951    
0.07406    11.56620000     11.57458855    
0.07491    11.32700000     11.35753152    
0.07576    11.18070000     11.14426967    
0.07661    10.95760000     10.93400893    
0.07745    10.58240000     10.72633603    
0.07830    10.28730000     10.52086684    
0.07915    10.13970000     10.31734220    
0.08000    9.91095000      10.11546691    
0.08084    9.74158000      9.91522897     
0.08169    9.49078000      9.71608217     
0.08254    9.31280000      9.51789898     
0.08339    9.05531000      9.32057403     
0.08424    8.76993000      9.12400575     
0.08508    8.57050000      8.92819075     
0.08593    8.28909000      8.73315126     
0.08678    8.10583000      8.53891814     
0.08763    7.93014000      8.34544740     
0.08847    7.75562000      8.15281058     
0.08932    7.55122000      7.96109429     
0.09017    7.36366000      7.77037175     
0.09102    7.24357000      7.58078895     
0.09186    7.06822000      7.39273285     
0.09271    6.93313000      7.20618392     
0.09356    6.80081000      7.02123430     
0.09441    6.64703000      6.83804150     
0.09525    6.38391000      6.65676938     
0.09610    6.17708000      6.47755494     
0.09695    6.07548000      6.30077596     
0.09780    5.94657000      6.12680094     
0.09864    5.74104000      5.95545548     
0.09949    5.57938000      5.78686541     
0.10034    5.45287000      5.62115182     
0.10119    5.31392000      5.45842128     
0.10204    5.15287000      5.29904274     
0.10288    5.03421000      5.14331518     
0.10373    4.88983000      4.99136732     
0.10458    4.76046000      4.84276939     
0.10543    4.69305000      4.69774960     
0.10627    4.56474000      4.55653566     
0.10712    4.39729000      4.41887721     
0.10797    4.24490000      4.28528747     
0.10882    4.16668000      4.15597696     
0.10966    4.07370000      4.03046462     
0.11051    3.96251000      3.90889363     
0.11136    3.86970000      3.79095676     
0.11221    3.71393000      3.67677452     
0.11305    3.58331000      3.56644943     
0.11390    3.53718000      3.46020185     
0.11475    3.50765000      3.35795730     
0.11560    3.36706000      3.25912335     
0.11645    3.24380000      3.16376091     
0.11729    3.14732000      3.07188666     
0.11814    3.05270000      2.98318742     
0.11899    2.99149000      2.89786196     
0.11983    2.89938000      2.81613136     
0.12068    2.82361000      2.73737883     
0.12153    2.75361000      2.66156692     
0.12238    2.67623000      2.58841068     
0.12323    2.59592000      2.51789891     
0.12407    2.54481000      2.44999607     
0.12492    2.48123000      2.38469953     
0.12577    2.43248000      2.32201125     
0.12662    2.36908000      2.26139648     
0.12746    2.30008000      2.20283338     
0.12831    2.24724000      2.14629410     
0.12916    2.15949000      2.09155118     
0.13001    2.10366000      2.03863090     
0.13085    2.02481000      1.98763575     
0.13170    1.95781000      1.93819703     
0.13255    1.90887000      1.89028041     
0.13340    1.83901000      1.84369262     
0.13425    1.79660000      1.79841807     
0.13509    1.76368000      1.75444280     
0.13594    1.74381000      1.71169434     
0.13679    1.69190000      1.67024986     
0.13764    1.64509000      1.62980157     
0.13848    1.60865000      1.59036191     
0.13933    1.56711000      1.55193461     
0.14018    1.51903000      1.51438992     
0.14103    1.49113000      1.47778536     
0.14187    1.42444000      1.44215268     
0.14272    1.37048000      1.40738265     
0.14357    1.35588000      1.37345923     
0.14442    1.33929000      1.34029342     
0.14526    1.32044000      1.30795300     
0.14611    1.27622000      1.27634580     
0.14696    1.25169000      1.24554420     
0.14781    1.20526000      1.21564743     
0.14865    1.16602000      1.18645715     
0.14950    1.14811000      1.15801247     
0.15035    1.13001000      1.13034264     
0.15120    1.11687000      1.10338086     
0.15204    1.11328000      1.07719483     
0.15289    1.07253000      1.05181884     
0.15374    1.03555000      1.02722284     
0.15459    1.01511000      1.00338727     
0.15543    0.98158900      0.98025102     
0.15628    0.94505400      0.95786926     
0.15713    0.91945100      0.93618876     
0.15798    0.88456000      0.91523582     
0.15882    0.87712300      0.89515636     
0.15967    0.86674700      0.87574995     
0.16052    0.82461900      0.85704035     
0.16137    0.80805300      0.83903277     
0.16222    0.80051600      0.82166747     
0.16306    0.78074500      0.80497588     
0.16391    0.78910300      0.78899341     
0.16476    0.78654300      0.77368257     
0.16561    0.76138200      0.75899453     
0.16645    0.72625900      0.74486901     
0.16730    0.70962800      0.73131789     
0.16815    0.71218700      0.71829489     
0.16900    0.69910100      0.70580829     
0.16984    0.67664700      0.69393149     
0.17069    0.67467400      0.68250860     
0.17154    0.66051300      0.67153325     
0.17239    0.64235800      0.66099449     
0.17324    0.62243000      0.65084595     
