0 Ensemble_score =  3.528 z-score -2.103 Chi = 3.528 c1 = 1.047 c2 = 0.453
   0 Int300_8_B10370001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
1 Ensemble_score =  3.619 z-score -2.079 Chi = 3.619 c1 = 1.040 c2 = 0.347
   1 Int300_8_B10460001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
2 Ensemble_score =  3.625 z-score -2.077 Chi = 3.625 c1 = 1.046 c2 = 0.573
   2 Basic300_0_B10880001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
3 Ensemble_score =  3.628 z-score -2.076 Chi = 3.628 c1 = 1.042 c2 = 0.213
   3 Int300_8_B10450001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
4 Ensemble_score =  3.710 z-score -2.054 Chi = 3.710 c1 = 1.041 c2 = 0.434
   4 Int300_8_B10400001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
5 Ensemble_score =  3.764 z-score -2.040 Chi = 3.764 c1 = 1.041 c2 = 0.347
   5 Int300_8_B10330001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
6 Ensemble_score =  4.016 z-score -1.972 Chi = 4.016 c1 = 1.048 c2 = 0.472
   6 Basic300_0_B10850001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
7 Ensemble_score =  4.111 z-score -1.947 Chi = 4.111 c1 = 1.037 c2 = -0.128
   7 Int300_7_B10740001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
8 Ensemble_score =  4.127 z-score -1.942 Chi = 4.127 c1 = 1.047 c2 = 0.213
   8 Basic320_4_B10230001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
9 Ensemble_score =  4.191 z-score -1.925 Chi = 4.191 c1 = 1.046 c2 = 0.995
   9 Int325_6_B10770001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
10 Ensemble_score =  4.216 z-score -1.919 Chi = 4.216 c1 = 1.047 c2 = 0.045
  10 Int300_6_B10140001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
11 Ensemble_score =  4.312 z-score -1.893 Chi = 4.312 c1 = 1.049 c2 = 0.155
  11 Int300_6_B10180001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
12 Ensemble_score =  4.322 z-score -1.890 Chi = 4.322 c1 = 1.032 c2 = 0.880
  12 Int325_7_B10480001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
13 Ensemble_score =  4.346 z-score -1.884 Chi = 4.346 c1 = 1.050 c2 = 0.707
  13 Basic300_3_B10200001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
14 Ensemble_score =  4.394 z-score -1.871 Chi = 4.394 c1 = 1.038 c2 = 0.174
  14 Int300_8_B10280001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
15 Ensemble_score =  4.399 z-score -1.869 Chi = 4.399 c1 = 1.048 c2 = 0.155
  15 Basic320_4_B10250001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
16 Ensemble_score =  4.442 z-score -1.858 Chi = 4.442 c1 = 1.037 c2 = 0.232
  16 Int300_8_B10490001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
17 Ensemble_score =  4.462 z-score -1.852 Chi = 4.462 c1 = 1.031 c2 = 0.832
  17 Int325_7_B10470001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
18 Ensemble_score =  4.511 z-score -1.839 Chi = 4.511 c1 = 1.040 c2 = -0.205
  18 Int300_7_B10690001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
19 Ensemble_score =  4.561 z-score -1.826 Chi = 4.561 c1 = 1.046 c2 = 0.587
  20 Basic300_3_B10150001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
20 Ensemble_score =  4.579 z-score -1.821 Chi = 4.579 c1 = 1.032 c2 = 0.880
  19 Int325_7_B10500001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
21 Ensemble_score =  4.662 z-score -1.799 Chi = 4.662 c1 = 1.043 c2 = 1.091
  21 Int325_6_B10470001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
22 Ensemble_score =  4.674 z-score -1.795 Chi = 4.674 c1 = 1.044 c2 = 1.043
  22 Basic300_0_B10950001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
23 Ensemble_score =  4.701 z-score -1.788 Chi = 4.701 c1 = 1.032 c2 = 0.880
  23 Int325_7_B10410001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
24 Ensemble_score =  4.708 z-score -1.786 Chi = 4.708 c1 = 1.033 c2 = 0.232
  24 Int300_7_B10770001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
25 Ensemble_score =  4.712 z-score -1.785 Chi = 4.712 c1 = 1.030 c2 = 0.966
  25 Int325_7_B10510001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
26 Ensemble_score =  4.730 z-score -1.780 Chi = 4.730 c1 = 1.047 c2 = 0.347
  26 Int300_4_B10150001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
27 Ensemble_score =  4.734 z-score -1.779 Chi = 4.734 c1 = 1.032 c2 = -0.555
  27 Basic350_5_B10860001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
28 Ensemble_score =  4.768 z-score -1.770 Chi = 4.768 c1 = 1.042 c2 = 1.053
  28 Basic310_1_B10580001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
29 Ensemble_score =  4.780 z-score -1.767 Chi = 4.780 c1 = 1.045 c2 = 1.173
  29 Int325_6_B10440001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
30 Ensemble_score =  4.836 z-score -1.752 Chi = 4.836 c1 = 1.047 c2 = 0.774
  30 Int325_6_B10790001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
31 Ensemble_score =  4.843 z-score -1.750 Chi = 4.843 c1 = 1.050 c2 = 0.491
  31 Basic300_0_B10800001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
32 Ensemble_score =  4.844 z-score -1.750 Chi = 4.844 c1 = 1.047 c2 = 0.832
  32 Int325_5_B10350001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
33 Ensemble_score =  4.847 z-score -1.749 Chi = 4.847 c1 = 1.044 c2 = 1.053
  33 Basic310_1_B10510001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
34 Ensemble_score =  4.890 z-score -1.738 Chi = 4.890 c1 = 1.049 c2 = 0.491
  35 Int300_4_B10140001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
35 Ensemble_score =  4.890 z-score -1.738 Chi = 4.890 c1 = 1.044 c2 = 1.053
  34 Int325_5_B10390001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
36 Ensemble_score =  4.913 z-score -1.731 Chi = 4.913 c1 = 1.041 c2 = 1.149
  36 Int325_7_B10570001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
37 Ensemble_score =  4.919 z-score -1.730 Chi = 4.919 c1 = 1.047 c2 = 1.187
  37 Int300_3_B10340001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
38 Ensemble_score =  4.927 z-score -1.728 Chi = 4.927 c1 = 1.046 c2 = -0.032
  38 Int300_6_B10120001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
39 Ensemble_score =  4.927 z-score -1.727 Chi = 4.927 c1 = 1.044 c2 = 0.916
  39 Int300_3_B10360001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
40 Ensemble_score =  4.929 z-score -1.727 Chi = 4.929 c1 = 1.048 c2 = 1.768
  40 Basic320_9_B10960001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
41 Ensemble_score =  4.929 z-score -1.727 Chi = 4.929 c1 = 1.046 c2 = 0.182
  41 Int300_6_B10160001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
42 Ensemble_score =  4.936 z-score -1.725 Chi = 4.936 c1 = 1.048 c2 = 1.374
  42 Int325_6_B10900001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
43 Ensemble_score =  4.962 z-score -1.718 Chi = 4.962 c1 = 1.035 c2 = 0.232
  43 Int300_7_B10780001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
44 Ensemble_score =  4.966 z-score -1.717 Chi = 4.966 c1 = 1.048 c2 = 0.928
  44 Basic300_3_B10220001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
45 Ensemble_score =  4.969 z-score -1.716 Chi = 4.969 c1 = 1.045 c2 = 1.211
  46 Int325_5_B10400001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
46 Ensemble_score =  4.969 z-score -1.716 Chi = 4.969 c1 = 1.045 c2 = 1.754
  45 Int300_3_B10610001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
47 Ensemble_score =  4.974 z-score -1.715 Chi = 4.974 c1 = 1.041 c2 = 0.453
  47 Basic320_4_B10130001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
48 Ensemble_score =  5.006 z-score -1.706 Chi = 5.006 c1 = 1.032 c2 = -0.542
  48 Basic350_5_B10870001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
49 Ensemble_score =  5.023 z-score -1.702 Chi = 5.023 c1 = 1.041 c2 = -0.349
  49 Basic350_5_B10780001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
50 Ensemble_score =  5.027 z-score -1.701 Chi = 5.027 c1 = 1.044 c2 = 0.957
  50 Int325_6_B10750001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
51 Ensemble_score =  5.030 z-score -1.700 Chi = 5.030 c1 = 1.027 c2 = 0.832
  51 Int325_7_B10440001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
52 Ensemble_score =  5.035 z-score -1.699 Chi = 5.035 c1 = 1.041 c2 = 1.192
  52 Basic310_1_B10470001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
53 Ensemble_score =  5.039 z-score -1.697 Chi = 5.039 c1 = 1.043 c2 = 1.072
  53 Basic310_1_B10620001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
54 Ensemble_score =  5.042 z-score -1.697 Chi = 5.042 c1 = 1.040 c2 = 0.115
  54 Int300_8_B10550001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
55 Ensemble_score =  5.045 z-score -1.696 Chi = 5.045 c1 = 1.039 c2 = 1.072
  55 Int300_3_B10990001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
56 Ensemble_score =  5.050 z-score -1.694 Chi = 5.050 c1 = 1.040 c2 = 1.317
  56 Int300_3_B10970001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
57 Ensemble_score =  5.055 z-score -1.693 Chi = 5.055 c1 = 1.048 c2 = 0.568
  57 Basic300_3_B10130001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
58 Ensemble_score =  5.069 z-score -1.689 Chi = 5.069 c1 = 1.037 c2 = -0.272
  58 Basic350_5_B10900001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
59 Ensemble_score =  5.076 z-score -1.687 Chi = 5.076 c1 = 1.042 c2 = 1.480
  59 Int325_6_B10410001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
60 Ensemble_score =  5.092 z-score -1.683 Chi = 5.092 c1 = 1.043 c2 = 1.288
  60 Int325_7_B10590001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
61 Ensemble_score =  5.113 z-score -1.678 Chi = 5.113 c1 = 1.034 c2 = 1.413
  61 Int325_6_B10710001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
62 Ensemble_score =  5.124 z-score -1.674 Chi = 5.124 c1 = 1.048 c2 = 0.171
  62 Int300_6_B10520001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
63 Ensemble_score =  5.137 z-score -1.671 Chi = 5.137 c1 = 1.041 c2 = 1.192
  63 Int350_7_B10670001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
64 Ensemble_score =  5.157 z-score -1.666 Chi = 5.157 c1 = 1.043 c2 = 1.413
  64 Int325_6_B10490001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
65 Ensemble_score =  5.170 z-score -1.662 Chi = 5.170 c1 = 1.039 c2 = 1.528
  65 Int300_3_B10870001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
66 Ensemble_score =  5.182 z-score -1.659 Chi = 5.182 c1 = 1.036 c2 = -0.253
  66 Int300_7_B10650001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
67 Ensemble_score =  5.202 z-score -1.654 Chi = 5.202 c1 = 1.046 c2 = 1.115
  67 Basic300_5_B10560001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
68 Ensemble_score =  5.204 z-score -1.653 Chi = 5.204 c1 = 1.048 c2 = 1.053
  68 Int325_6_B10800001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
69 Ensemble_score =  5.214 z-score -1.650 Chi = 5.214 c1 = 1.045 c2 = 0.928
  69 Basic320_2_B10390001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
70 Ensemble_score =  5.215 z-score -1.650 Chi = 5.215 c1 = 1.032 c2 = 1.480
  70 Int325_6_B10250001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
71 Ensemble_score =  5.222 z-score -1.648 Chi = 5.222 c1 = 1.049 c2 = 1.528
  73 Int325_5_B10580001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
72 Ensemble_score =  5.223 z-score -1.648 Chi = 5.223 c1 = 1.047 c2 = 0.928
  72 Basic310_1_B10550001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
73 Ensemble_score =  5.224 z-score -1.648 Chi = 5.224 c1 = 1.028 c2 = 1.120
  71 Int325_7_B10530001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
74 Ensemble_score =  5.237 z-score -1.644 Chi = 5.237 c1 = 1.040 c2 = 1.490
  74 Int325_6_B10570001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
75 Ensemble_score =  5.243 z-score -1.643 Chi = 5.243 c1 = 1.049 c2 = 1.168
  75 Int300_3_B10320001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
76 Ensemble_score =  5.254 z-score -1.640 Chi = 5.254 c1 = 1.041 c2 = 0.107
  76 Int300_8_B10540001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
77 Ensemble_score =  5.256 z-score -1.639 Chi = 5.256 c1 = 1.040 c2 = 0.155
  77 Int300_8_B10560001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
78 Ensemble_score =  5.263 z-score -1.637 Chi = 5.263 c1 = 1.043 c2 = 1.413
  78 Basic300_0_B10980001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
79 Ensemble_score =  5.273 z-score -1.635 Chi = 5.273 c1 = 1.023 c2 = 0.832
  79 Int325_7_B10370001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
80 Ensemble_score =  5.287 z-score -1.631 Chi = 5.287 c1 = 1.039 c2 = 0.107
  80 Int300_6_B10100001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
81 Ensemble_score =  5.290 z-score -1.630 Chi = 5.290 c1 = 1.025 c2 = 1.235
  82 Int325_7_B10450001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
82 Ensemble_score =  5.291 z-score -1.630 Chi = 5.291 c1 = 1.044 c2 = 0.726
  83 Basic300_3_B10110001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
83 Ensemble_score =  5.293 z-score -1.629 Chi = 5.293 c1 = 1.036 c2 = 1.187
  84 Int350_7_B10710001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
84 Ensemble_score =  5.294 z-score -1.629 Chi = 5.294 c1 = 1.047 c2 = 0.688
  81 Basic300_3_B10050001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
85 Ensemble_score =  5.297 z-score -1.628 Chi = 5.297 c1 = 1.041 c2 = 1.168
  85 Int325_6_B10300001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
86 Ensemble_score =  5.318 z-score -1.623 Chi = 5.318 c1 = 1.043 c2 = 1.432
  86 Int300_3_B10440001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
87 Ensemble_score =  5.319 z-score -1.622 Chi = 5.319 c1 = 1.046 c2 = 0.019
  87 Int300_4_B10020001_MSE.pdb.dat    (1.000) [ 0.000, 1.000, 1.000 ] 
