# | FILE                           | hit counts | ZScore sum. | Hit score (decimal) | Hit score (binary)
157 | Basic300_1_B10550001_MSE.dat | 6 | -6.007 | 532684 | 10000010000011001100
158 | Basic300_1_B10560001_MSE.dat | 5 | -5.248 | 532620 | 10000010000010001100
159 | Basic300_1_B10570001_MSE.dat | 6 | -6.436 | 802956 | 11000100000010001100
160 | Basic300_1_B10580001_MSE.dat | 6 | -6.429 | 802956 | 11000100000010001100
161 | Basic300_1_B10590001_MSE.dat | 8 | -8.513 | 813196 | 11000110100010001100
162 | Basic300_1_B10600001_MSE.dat | 10 | -10.280 | 813261 | 11000110100011001101
163 | Basic300_1_B10610001_MSE.dat | 10 | -10.536 | 813261 | 11000110100011001101
164 | Basic300_1_B10620001_MSE.dat | 10 | -10.085 | 817293 | 11000111100010001101
165 | Basic300_1_B10630001_MSE.dat | 8 | -8.756 | 811149 | 11000110000010001101
166 | Basic300_1_B10640001_MSE.dat | 10 | -10.505 | 817293 | 11000111100010001101
167 | Basic300_1_B10650001_MSE.dat | 11 | -11.427 | 948365 | 11100111100010001101
168 | Basic300_1_B10660001_MSE.dat | 10 | -10.333 | 813261 | 11000110100011001101
169 | Basic300_1_B10670001_MSE.dat | 10 | -10.756 | 813261 | 11000110100011001101
170 | Basic300_1_B10680001_MSE.dat | 8 | -8.617 | 813069 | 11000110100000001101
171 | Basic300_1_B10690001_MSE.dat | 9 | -9.692 | 813197 | 11000110100010001101
172 | Basic300_1_B10700001_MSE.dat | 10 | -10.474 | 944269 | 11100110100010001101
173 | Basic300_1_B10710001_MSE.dat | 9 | -9.384 | 813197 | 11000110100010001101
174 | Basic300_1_B10720001_MSE.dat | 11 | -11.337 | 948365 | 11100111100010001101
175 | Basic300_1_B10730001_MSE.dat | 11 | -10.974 | 424141 | 1100111100011001101
176 | Basic300_1_B10740001_MSE.dat | 10 | -10.886 | 1460429 | 101100100100011001101
177 | Basic300_1_B10750001_MSE.dat | 7 | -8.131 | 395405 | 1100000100010001101
178 | Basic300_1_B10760001_MSE.dat | 6 | -5.767 | 1441925 | 101100000000010000101
179 | Basic300_1_B10770001_MSE.dat | 3 | -3.041 | 1179776 | 100100000000010000000
180 | Basic300_1_B10780001_MSE.dat | 3 | -3.307 | 1179904 | 100100000000100000000
181 | Basic300_1_B10790001_MSE.dat | 2 | -2.353 | 1179648 | 100100000000000000000
182 | Basic300_1_B10800001_MSE.dat | 3 | -3.191 | 1196032 | 100100100000000000000
183 | Basic300_1_B10810001_MSE.dat | 4 | -4.887 | 1181697 | 100100000100000000001
184 | Basic300_1_B10820001_MSE.dat | 5 | -6.077 | 1181761 | 100100000100001000001
185 | Basic300_1_B10830001_MSE.dat | 5 | -6.080 | 1181761 | 100100000100001000001
186 | Basic300_1_B10840001_MSE.dat | 7 | -7.735 | 1247553 | 100110000100101000001
187 | Basic300_1_B10850001_MSE.dat | 6 | -6.651 | 1247297 | 100110000100001000001
188 | Basic300_1_B10860001_MSE.dat | 4 | -4.671 | 1116161 | 100010000100000000001
189 | Basic300_1_B10870001_MSE.dat | 6 | -6.813 | 1247489 | 100110000100100000001
190 | Basic300_1_B10880001_MSE.dat | 7 | -8.118 | 1247493 | 100110000100100000101
191 | Basic300_1_B10890001_MSE.dat | 7 | -8.074 | 1247493 | 100110000100100000101
192 | Basic300_1_B10900001_MSE.dat | 7 | -8.471 | 1247493 | 100110000100100000101
193 | Basic300_1_B10910001_MSE.dat | 7 | -8.567 | 1247493 | 100110000100100000101
194 | Basic300_1_B10920001_MSE.dat | 7 | -8.476 | 1247493 | 100110000100100000101
195 | Basic300_1_B10930001_MSE.dat | 6 | -7.351 | 1247492 | 100110000100100000100
196 | Basic300_1_B10940001_MSE.dat | 6 | -6.404 | 1245445 | 100110000000100000101
197 | Basic300_1_B10950001_MSE.dat | 5 | -6.408 | 1181956 | 100100000100100000100
198 | Basic300_1_B10960001_MSE.dat | 7 | -8.081 | 1247524 | 100110000100100100100
199 | Basic300_1_B10970001_MSE.dat | 7 | -8.321 | 1247524 | 100110000100100100100
200 | Basic300_1_B10980001_MSE.dat | 6 | -6.804 | 1116452 | 100010000100100100100
201 | Basic300_1_B10990001_MSE.dat | 6 | -6.834 | 1116452 | 100010000100100100100
202 | Basic300_1_B11000001_MSE.dat | 7 | -6.889 | 1247524 | 100110000100100100100
203 | Basic300_1_B99990001_MSE.dat | 7 | -6.889 | 1247524 | 100110000100100100100
204 | Basic300_2_B10010001_MSE.dat | 5 | -5.422 | 131428 | 100000000101100100
205 | Basic300_2_B10020001_MSE.dat | 5 | -5.476 | 132420 | 100000010101000100
206 | Basic300_2_B10030001_MSE.dat | 7 | -7.225 | 142660 | 100010110101000100
207 | Basic300_2_B10040001_MSE.dat | 7 | -7.521 | 134500 | 100000110101100100
208 | Basic300_2_B10050001_MSE.dat | 7 | -7.368 | 142436 | 100010110001100100
209 | Basic300_2_B10060001_MSE.dat | 7 | -7.105 | 141668 | 100010100101100100
210 | Basic300_2_B10070001_MSE.dat | 5 | -5.327 | 8548 | 10000101100100
211 | Basic300_2_B10080001_MSE.dat | 7 | -7.224 | 140644 | 100010010101100100
212 | Basic300_2_B10090001_MSE.dat | 3 | -3.131 | 8288 | 10000001100000
213 | Basic300_2_B10100001_MSE.dat | 5 | -4.891 | 9316 | 10010001100100
214 | Basic300_2_B10110001_MSE.dat | 4 | -4.272 | 8292 | 10000001100100
