1 | 0.110344 | + | | 
2 | 0.118065 | + | | 
3 | 0.112221 | + | | 
4 | 0.109955 | + | | 
5 | 0.108559 | + | | 
6 | 0.107994 | + | | 
7 | 0.114921 | + | | 
8 | 0.112681 | + | | 
9 | 0.113065 | + | | 
10 | 0.112447 | + | | 
11 | 0.112043 | + | | 
12 | 0.114677 | + | | 
13 | 0.111259 | + | | 
14 | 0.113325 | + | | 
15 | 0.148746 | + | | 
16 | 0.155411 | + | | 
17 | 0.154694 | + | | 
18 | 0.145458 | + | | 
19 | 0.144903 | + | | 
20 | 0.144144 | + | | 
21 | 0.141228 | + | | 
22 | 0.144658 | + | | 
23 | 0.144666 | + | | 
24 | 0.144071 | + | | 
25 | 0.111690 | + | | 
26 | 0.144170 | + | | 
27 | 0.112327 | + | | 
28 | 0.140553 | + | | 
29 | 0.110132 | + | | 
30 | 0.140078 | + | | 
31 | 0.109481 | + | | 
32 | 0.109090 | + | | 
33 | 0.120393 | + | | 
34 | 0.122063 | + | | 
35 | 0.121230 | + | | 
36 | 0.107970 | + | | 
37 | 0.108836 | + | | 
38 | 0.105470 | + | | 
39 | 0.106381 | + | | 
40 | 0.107088 | + | | 
41 | 0.108716 | + | | 
42 | 0.109125 | + | | 
43 | 0.111945 | + | | 
44 | 0.113471 | + | | 
45 | 0.108926 | + | | 
46 | 0.108492 | + | | 
47 | 0.109100 | + | | 
48 | 0.108230 | + | | 
49 | 0.107760 | + | | 
50 | 0.107882 | + | | 
51 | 0.106464 | + | | 
52 | 0.105952 | + | | 
53 | 0.107497 | + | | 
54 | 0.103918 | + | | 
55 | 0.105056 | + | | 
56 | 0.106729 | + | | 
57 | 0.108950 | + | | 
58 | 0.108698 | + | | 
59 | 0.108274 | + | | 
60 | 0.108824 | + | | 
61 | 0.109207 | + | | 
62 | 0.111059 | + | | 
63 | 0.110695 | + | | 
64 | 0.110488 | + | | 
65 | 0.109940 | + | | 
66 | 0.111521 | + | | 
67 | 0.110274 | + | | 
68 | 0.109762 | + | | 
69 | 0.110417 | + | | 
70 | 0.106522 | + | | 
71 | 0.103805 | + | | 
72 | 0.105793 | + | | 
73 | 0.106148 | + | | 
74 | 0.105808 | + | | 
75 | 0.106629 | + | | 
76 | 0.107655 | + | | 
77 | 0.109888 | + | | 
78 | 0.110186 | + | | 
79 | 0.112239 | + | | 
80 | 0.111603 | + | | 
81 | 0.110878 | + | | 
82 | 0.106369 | + | | 
83 | 0.134464 | + | | 
84 | 0.103642 | + | | 
85 | 0.130651 | + | | 
86 | 0.132100 | + | | 
87 | 0.134495 | + | | 
88 | 0.133623 | + | | 
89 | 0.134996 | + | | 
90 | 0.135402 | + | | 
91 | 0.138992 | + | | 
92 | 0.139133 | + | | 
93 | 0.139037 | + | | 
94 | 0.138677 | + | | 
95 | 0.142612 | + | | 
96 | 0.137129 | + | | 
97 | 0.143911 | + | | 
98 | 0.145934 | + | | 
99 | 0.147860 | + | | 
100 | 0.146543 | + | | 
101 | 0.139401 | + | | 
102 | 0.139401 | + | | 
103 | 0.110306 | + | | 
104 | 0.152413 | + | | 
105 | 0.108613 | + | | 
106 | 0.109910 | + | | 
107 | 0.110173 | + | | 
108 | 0.110835 | + | | 
109 | 0.110166 | + | | 
110 | 0.109243 | + | | 
111 | 0.110827 | + | | 
112 | 0.132972 | + | | 
113 | 0.109694 | + | | 
114 | 0.109312 | + | | 
115 | 0.110121 | + | | 
116 | 0.110044 | + | | 
117 | 0.111481 | + | | 
118 | 0.113108 | + | | 
119 | 0.113855 | + | | 
120 | 0.112744 | + | | 
121 | 0.113334 | + | | 
122 | 0.111535 | + | | 
123 | 0.109598 | + | | 
124 | 0.109212 | + | | 
125 | 0.108958 | + | | 
126 | 0.109617 | + | | 
127 | 0.111434 | + | | 
128 | 0.112336 | + | | 
129 | 0.113074 | + | | 
130 | 0.152995 | + | | 
131 | 0.155064 | + | | 
132 | 0.157264 | + | | 
133 | 0.123411 | + | | 
134 | 0.124913 | + | | 
135 | 0.123915 | + | | 
136 | 0.154901 | + | | 
137 | 0.154536 | + | | 
138 | 0.161402 | + | | 
139 | 0.162862 | + | | 
140 | 0.159741 | + | | 
141 | 0.158969 | + | | 
142 | 0.157405 | + | | 
143 | 0.159327 | + | | 
144 | 0.162146 | + | | 
145 | 0.163299 | + | | 
146 | 0.167417 | + | | 
147 | 0.169759 | + | | 
148 | 0.169331 | + | | 
149 | 0.167552 | + | | 
150 | 0.122081 | + | | 
151 | 0.122277 | + | | 
152 | 0.164666 | + | | 
153 | 0.106951 | + | | 
154 | 0.105890 | + | | 
155 | 0.107523 | + | | 
156 | 0.107012 | + | | 
157 | 0.108232 | + | | 
158 | 0.108751 | + | | 
159 | 0.106088 | + | | 
160 | 0.105787 | + | | 
161 | 0.105584 | + | | 
162 | 0.105519 | + | | 
163 | 0.104477 | + | | 
164 | 0.109163 | + | | 
165 | 0.102695 | + | | 
166 | 0.102635 | + | | 
167 | 0.102649 | + | | 
168 | 0.104358 | + | | 
169 | 0.104436 | + | | 
170 | 0.106429 | + | | 
171 | 0.106005 | + | | 
172 | 0.105574 | + | | 
173 | 0.103767 | + | | 
174 | 0.104529 | + | | 
175 | 0.106004 | + | | 
176 | 0.107963 | + | | 
177 | 0.110873 | + | | 
178 | 0.111794 | + | | 
179 | 0.113833 | + | | 
180 | 0.114825 | + | | 
181 | 0.116625 | + | | 
182 | 0.114184 | + | | 
183 | 0.115626 | + | | 
184 | 0.117689 | + | | 
185 | 0.117348 | + | | 
186 | 0.116251 | + | | 
187 | 0.115207 | + | | 
188 | 0.115994 | + | | 
189 | 0.116868 | + | | 
190 | 0.111857 | + | | 
191 | 0.111359 | + | | 
192 | 0.109503 | + | | 
193 | 0.109727 | + | | 
194 | 0.108638 | + | | 
195 | 0.109380 | + | | 
196 | 0.109824 | + | | 
197 | 0.111198 | + | | 
198 | 0.109289 | + | | 
199 | 0.109541 | + | | 
200 | 0.111256 | + | | 
201 | 0.111238 | + | | 
202 | 0.110289 | + | | 
203 | 0.110289 | + | | 
204 | 0.112625 | + | | 
205 | 0.109931 | + | | 
206 | 0.109359 | + | | 
207 | 0.108741 | + | | 
208 | 0.108458 | + | | 
209 | 0.109754 | + | | 
210 | 0.108454 | + | | 
211 | 0.110137 | + | | 
212 | 0.116985 | + | | 
213 | 0.112606 | + | | 
214 | 0.107357 | + | | 
215 | 0.112521 | + | | 
216 | 0.113218 | + | | 
217 | 0.112345 | + | | 
218 | 0.108239 | + | | 
219 | 0.110538 | + | | 
220 | 0.110137 | + | | 
221 | 0.108368 | + | | 
222 | 0.108050 | + | | 
223 | 0.104676 | + | | 
224 | 0.105406 | + | | 
225 | 0.108786 | + | | 
226 | 0.108367 | + | | 
227 | 0.106258 | + | | 
228 | 0.106633 | + | | 
229 | 0.106093 | + | | 
230 | 0.109722 | + | | 
231 | 0.109282 | + | | 
232 | 0.110285 | + | | 
233 | 0.108119 | + | | 
234 | 0.111068 | + | | 
235 | 0.112155 | + | | 
236 | 0.114012 | + | | 
237 | 0.114334 | + | | 
238 | 0.116163 | + | | 
239 | 0.118741 | + | | 
240 | 0.117174 | + | | 
241 | 0.119424 | + | | 
242 | 0.120851 | + | | 
243 | 0.121960 | + | | 
244 | 0.130320 | + | | 
245 | 0.124463 | + | | 
246 | 0.132778 | + | | 
247 | 0.122699 | + | | 
248 | 0.155218 | + | | 
249 | 0.157841 | + | | 
250 | 0.157599 | + | | 
251 | 0.157343 | + | | 
252 | 0.158489 | + | | 
253 | 0.141269 | + | | 
254 | 0.162038 | + | | 
255 | 0.161934 | + | | 
256 | 0.164667 | + | | 
257 | 0.142437 | + | | 
258 | 0.164330 | + | | 
259 | 0.162229 | + | | 
260 | 0.163785 | + | | 
261 | 0.165840 | + | | 
262 | 0.187934 | + | | 
263 | 0.191817 | + | | 
264 | 0.187668 | + | | 
265 | 0.190644 | + | | 
266 | 0.186232 | + | | 
267 | 0.186728 | + | | 
268 | 0.185444 | + | | 
269 | 0.184313 | + | | 
270 | 0.184909 | + | | 
271 | 0.186831 | + | | 
272 | 0.133977 | + | | 
273 | 0.131245 | + | | 
274 | 0.130966 | + | | 
275 | 0.131596 | + | | 
276 | 0.132061 | + | | 
277 | 0.132994 | + | | 
278 | 0.133162 | + | | 
279 | 0.134769 | + | | 
280 | 0.157842 | + | | 
281 | 0.135483 | + | | 
